accession,symbol,expression_ratio_opt_over_wt,source_status
NM_001514,TFIIB,1.18,numeric_ratio
NM_004379,CREB1,2.80,numeric_ratio
NM_014596,ZNRD1,3.41,numeric_ratio
NM_016269,Lef1,3.28,numeric_ratio
NM_006331,EMG1,2.25,numeric_ratio
NM_139071,SMARCD1,1.85,numeric_ratio
NM_002648,PIM1,1.12,numeric_ratio
NM_006875,PIM2,1.28,numeric_ratio
NM_001001852,PIM3,1.00,equal_expression
NM_025195,Trb1,1.23,numeric_ratio
NM_004972,JAK2,6.00,numeric_ratio
NM_002110,HCK,2.40,numeric_ratio
NM_005356,LCK,1.90,numeric_ratio
NM_002019,FLT1,3.94,numeric_ratio
NM_002755,MAP2K1,1.05,numeric_ratio
NM_004073,PLK3,1.15,numeric_ratio
NM_002745,Erk2,1.34,numeric_ratio
NM_001315,p38a,2.57,numeric_ratio
NM_002750,JNK1,2.78,numeric_ratio
NM_002753,JNK3,14.73,numeric_ratio
NM_001292,CLK3,0.97,numeric_ratio
NM_001892,CK1a,1.95,numeric_ratio
NM_003042,GAT1,1.19,numeric_ratio
NM_001045,Serotonin-TP,1.27,numeric_ratio
NM_030956,TLR10,,only_optimized
NM_014437,SLC39A1,2.29,numeric_ratio
NM_000220,KCNJ1,,only_optimized
NM_001651,AQP5,9.05,numeric_ratio
NM_001753,CAV1,1.04,numeric_ratio
NM_000593,TAP1,1.97,numeric_ratio
NM_000544,TAP2,2.37,numeric_ratio
NM_005561,LAMP1,1.28,numeric_ratio
NM_002294,LAMP2,,only_optimized
NM_014398,LAMP3,2.80,numeric_ratio
NM_000086,CLN3,2.64,numeric_ratio
NM_014319,LEMD3,1.29,numeric_ratio
NM_000914,OPRM1,2.70,numeric_ratio
NM_023921,TAS2R10,,only_optimized
NM_024006,VKORC1,0.76,numeric_ratio
NM_002507,NGFR,1.15,numeric_ratio
NM_000585,IL-15,,only_optimized
NM_011337.2,Mip1a,1.48,numeric_ratio
NM_000586,IL-2,,only_optimized
NP_000610,IFNgamma,1.88,numeric_ratio
NM_006850,IL-24,1.20,numeric_ratio
NM_000572,IL-10,1.35,numeric_ratio
NM_002985,RANTES,1.04,numeric_ratio
NM_024013,IFNalpha,1.16,numeric_ratio
NM_001012271,BIRC5,2.44,numeric_ratio
NM_001786,CDC2,2.85,numeric_ratio
