GO:0007155	cell adhesion
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules
GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0007158	neuron cell-cell adhesion
GO:0007159	leukocyte cell-cell adhesion
GO:0016337	single organismal cell-cell adhesion
GO:0016338	calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules
GO:0016339	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0022407	regulation of cell-cell adhesion
GO:0022409	positive regulation of cell-cell adhesion
GO:0030155	regulation of cell adhesion
GO:0033627	cell adhesion mediated by integrin
GO:0033628	regulation of cell adhesion mediated by integrin
GO:0033630	positive regulation of cell adhesion mediated by integrin
GO:0033631	cell-cell adhesion mediated by integrin
GO:0033632	regulation of cell-cell adhesion mediated by integrin
GO:0033634	positive regulation of cell-cell adhesion mediated by integrin
GO:0034109	homotypic cell-cell adhesion
GO:0034112	positive regulation of homotypic cell-cell adhesion
GO:0034113	heterotypic cell-cell adhesion
GO:0034116	positive regulation of heterotypic cell-cell adhesion
GO:0044329	canonical Wnt signaling pathway involved in positive regulation of cell-cell adhesion
GO:0044331	cell-cell adhesion mediated by cadherin
GO:0045785	positive regulation of cell adhesion
GO:0046587	positive regulation of calcium-dependent cell-cell adhesion
GO:0051041	positive regulation of calcium-independent cell-cell adhesion
GO:0060352	cell adhesion molecule production
GO:0060355	positive regulation of cell adhesion molecule production
GO:0070586	cell-cell adhesion involved in gastrulation
GO:0071603	endothelial cell-cell adhesion
GO:0086042	cardiac muscle cell-cardiac muscle cell adhesion
GO:0090136	epithelial cell-cell adhesion
GO:0090138	regulation of actin cytoskeleton organization by cell-cell adhesion
GO:0098609	cell-cell adhesion
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules
GO:1903039	positive regulation of leukocyte cell-cell adhesion
GO:1903387	positive regulation of homophilic cell adhesion
GO:2000049	positive regulation of cell-cell adhesion mediated by cadherin
